,Location,Date Scraped,Vistor Visa Times,Student & Vistor Exchange Visa Times,All Other Non-Immigrant Visa Times
0,Abidjan,2022-06-07,380,154,1
1,Abu Dhabi,2022-06-07,300,270,150
2,Accra,2022-06-07,983,73,60
3,Addis Ababa,2022-06-07,381,60,381
4,Algiers,2022-06-07,95,27,6
5,Almaty,2022-06-07,243,108,61
6,Amman,2022-06-07,721,85,721
7,Amsterdam,2022-06-07,240,73,134
8,Ankara,2022-06-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9,Antananarivo,2022-06-07,21,21,21
10,Ashgabat,2022-06-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
11,Asmara,2022-06-07,7,7,7
12,Asuncion,2022-06-07,390,10,10
13,Athens,2022-06-07,637,14,30
14,Auckland,2022-06-07,121,22,121
15,Baghdad,2022-06-07,Closed,Closed,Closed
16,Bangkok,2022-06-07,180,21,10
17,Banjul,2022-06-07,120,21,21
18,Beirut,2022-06-07,262,23,23
19,Belgrade,2022-06-07,180,8,12
20,Belmopan,2022-06-07,72,7,7
21,Bern,2022-06-07,129,48,48
22,Beirut,2022-06-07,262,23,23
23,Bishkek,2022-06-07,576,36,36
24,Bogota,2022-06-07,696,37,33
25,Bratislava,2022-06-07,56,17,17
26,Brazzaville,2022-06-07,14,14,14
27,Bridgetown,2022-06-07,615,22,250
28,Brussels,2022-06-07,90,40,60
29,Bucharest,2022-06-07,211,2,2
30,Budapest,2022-06-07,250,100,100
31,Buenos Aires,2022-06-07,504,10,10
32,Bujumbura,2022-06-07,10,7,7
33,Cairo,2022-06-07,404,5,5
34,Calgary,2022-06-07,307,14,120
35,Cape Town,2022-06-07,218,30,79
36,Caracas,2022-06-07,Temporarily Closed,Temporarily Closed,Temporarily Closed
37,Casablanca,2022-06-07,128,35,128
38,Chisinau,2022-06-07,149,7,7
39,Ciudad Juarez,2022-06-07,358,1,1
40,Colombo,2022-06-07,100,4,100
41,Cotonou,2022-06-07,146,146,146
42,Dakar,2022-06-07,235,25,235
43,Damascus,2022-06-07,Temporarily Closed,Temporarily Closed,Temporarily Closed
44,Dar es Salaam,2022-06-07,56,52,52
45,Dhaka,2022-06-07,572,572,43
46,Djibouti,2022-06-07,365,90,90
47,Doha,2022-06-07,155,21,6
48,Dubai,2022-06-07,313,137,137
49,Dublin,2022-06-07,28,23,16
50,Frankfurt,2022-06-07,51,51,51
51,Freetown,2022-06-07,108,66,66
52,Georgetown,2022-06-07,800,5,1
53,Guangzhou,2022-06-07,15,11,15
54,Guatemala City,2022-06-07,238,1,1
55,Guayaquil,2022-06-07,547,7,7
56,Hamilton,2022-06-07,120,30,90
57,Havana,2022-06-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
58,Helsinki,2022-06-07,150,101,142
59,Ho Chi Minh City,2022-06-07,285,57,12
60,Hong Kong,2022-06-07,80,4,40
61,Harare,2022-06-07,107,107,107
62,Islamabad,2022-06-07,468,5,5
63,Jakarta,2022-06-07,50,11,14
64,Jerusalem,2022-06-07,318,20,1
65,Johannesburg,2022-06-07,240,60,210
66,Kabul,2022-06-07,Closed,Closed,Closed
67,Kampala,2022-06-07,210,30,180
68,Kathmandu,2022-06-07,274,80,17
69,Khartoum,2022-06-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
70,Kigali,2022-06-07,95,20,15
71,Kingston,2022-06-07,760,15,24
72,Kinshasa,2022-06-07,755,8,755
73,Kuala Lumpur,2022-06-07,35,12,14
74,Kuwait City,2022-06-07,3,3,3
75,Kyiv,2022-06-07,Closed,Closed,Closed
76,Lagos,2022-06-07,760,30,30
77,La Paz,2022-06-07,90,25,1
78,Libreville,2022-06-07,188,30,188
79,Lilongwe,2022-06-07,52,52,52
80,Lima,2022-06-07,375,36,32
81,Ljubljana,2022-06-07,90,30,45
82,Lome,2022-06-07,90,90,90
83,London,2022-06-07,130,55,90
84,Luanda,2022-06-07,10,37,1
85,Lusaka,2022-06-07,16,16,16
86,Madrid,2022-06-07,363,90,124
87,Managua,2022-06-07,149,3,15
88,Manama,2022-06-07,75,3,11
89,Manila,2022-06-07,360,25,34
90,Monrovia,2022-06-07,365,30,30
91,Montevideo,2022-06-07,514,16,23
92,Montreal,2022-06-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
93,Moscow,2022-06-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
94,Mumbai,2022-06-07,292,39,93
95,Muscat,2022-06-07,7,7,7
96,Naha,2022-06-07,18,18,12
97,Nairobi,2022-06-07,667,414,44
98,Naples,2022-06-07,232,86,51
99,Nassau,2022-06-07,118,24,118
100,New Delhi,2022-06-07,316,39,226
101,Niamey,2022-06-07,90,90,90
102,Nicosia,2022-06-07,130,7,130
103,Oslo,2022-06-07,121,37,21
104,Ouagadougou,2022-06-07,236,236,7
105,Panama City,2022-06-07,700,20,3
106,Paramaribo,2022-06-07,45,1,1
107,Paris,2022-06-07,225,40,200
108,Phnom Penh,2022-06-07,62,35,35
109,Prague,2022-06-07,200,4,16
110,Praia,2022-06-07,148,7,7
111,Pristina,2022-06-07,233,15,233
112,Port Au Prince,2022-06-07,365,1,7
113,Port Moresby,2022-06-07,1,1,1
114,Port of Spain,2022-06-07,310,1,1
115,Rangoon,2022-06-07,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
116,Reykjavik,2022-06-07,60,60,60
117,Riga,2022-06-07,2,3,1
118,Rio de Janeiro,2022-06-07,362,2,6
119,Riyadh,2022-06-07,16,16,16
120,Sanaa,2022-06-07,Temporarily Closed,Temporarily Closed,Temporarily Closed
121,San Jose,2022-06-07,401,56,114
122,San Salvador,2022-06-07,317,2,2
123,Santiago,2022-06-07,805,106,239
124,Santo Domingo,2022-06-07,600,30,10
125,Sarajevo,2022-06-07,16,2,2
126,Seoul,2022-06-07,92,91,77
127,Singapore,2022-06-07,44,2,3
128,Skopje,2022-06-07,250,250,250
129,Sofia,2022-06-07,60,7,7
130,Stockholm,2022-06-07,241,55,112
131,Suva,2022-06-07,5,2,3
132,Sydney,2022-06-07,390,73,133
133,Taipei,2022-06-07,45,43,49
134,Tallinn,2022-06-07,28,3,3
135,Tashkent,2022-06-07,120,25,30
136,Tbilisi,2022-06-07,219,128,30
137,Tegucigalpa,2022-06-07,75,6,9
138,Tel Aviv,2022-06-07,323,16,18
139,Tirana,2022-06-07,337,14,14
140,Tokyo,2022-06-07,53,2,4
141,Tunis,2022-06-07,150,30,14
142,Ulaanbaatar,2022-06-07,499,18,22
143,Vancouver,2022-06-07,451,16,182
144,Vienna,2022-06-07,170,77,57
145,Vientiane,2022-06-07,10,16,10
146,Vilnius,2022-06-07,37,24,24
147,Warsaw,2022-06-07,31,1,1
148,Yaounde,2022-06-07,69,69,55
149,Yerevan,2022-06-07,656,652,168
150,Zagreb,2022-06-07,99,2,4
0,Abidjan,2022-06-06,380,154,1
1,Abu Dhabi,2022-06-06,300,270,150
2,Accra,2022-06-06,983,73,60
3,Addis Ababa,2022-06-06,381,60,381
4,Algiers,2022-06-06,95,27,6
5,Almaty,2022-06-06,243,108,61
6,Amman,2022-06-06,721,106,721
7,Amsterdam,2022-06-06,240,73,134
8,Ankara,2022-06-06,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
9,Antananarivo,2022-06-06,21,21,21
10,Ashgabat,2022-06-06,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
11,Asmara,2022-06-06,7,7,7
12,Asuncion,2022-06-06,390,10,10
13,Athens,2022-06-06,637,14,30
14,Auckland,2022-06-06,92,16,92
15,Baghdad,2022-06-06,Closed,Closed,Closed
16,Bangkok,2022-06-06,180,21,10
17,Banjul,2022-06-06,120,21,21
18,Beirut,2022-06-06,267,7,7
19,Belgrade,2022-06-06,180,8,12
20,Belmopan,2022-06-06,71,8,9
21,Bern,2022-06-06,129,48,48
22,Beirut,2022-06-06,267,7,7
23,Bishkek,2022-06-06,576,36,36
24,Bogota,2022-06-06,696,37,33
25,Bratislava,2022-06-06,56,17,17
26,Brazzaville,2022-06-06,14,14,14
27,Bridgetown,2022-06-06,615,22,250
28,Brussels,2022-06-06,90,40,60
29,Bucharest,2022-06-06,231,3,7
30,Budapest,2022-06-06,250,100,100
31,Buenos Aires,2022-06-06,504,3,3
32,Bujumbura,2022-06-06,3,3,3
33,Cairo,2022-06-06,404,5,5
34,Calgary,2022-06-06,307,14,120
35,Cape Town,2022-06-06,218,30,79
36,Caracas,2022-06-06,Temporarily Closed,Temporarily Closed,Temporarily Closed
37,Casablanca,2022-06-06,128,35,128
38,Chisinau,2022-06-06,149,7,7
39,Ciudad Juarez,2022-06-06,366,1,1
40,Colombo,2022-06-06,100,4,100
41,Cotonou,2022-06-06,146,146,146
42,Dakar,2022-06-06,225,25,225
43,Damascus,2022-06-06,Temporarily Closed,Temporarily Closed,Temporarily Closed
44,Dar es Salaam,2022-06-06,56,52,52
45,Dhaka,2022-06-06,587,587,44
46,Djibouti,2022-06-06,365,90,90
47,Doha,2022-06-06,155,21,6
48,Dubai,2022-06-06,313,137,137
49,Dublin,2022-06-06,28,23,16
50,Frankfurt,2022-06-06,51,51,51
51,Freetown,2022-06-06,100,112,112
52,Georgetown,2022-06-06,800,5,1
53,Guangzhou,2022-06-06,14,7,14
54,Guatemala City,2022-06-06,245,1,1
55,Guayaquil,2022-06-06,545,9,13
56,Hamilton,2022-06-06,120,30,90
57,Havana,2022-06-06,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
58,Helsinki,2022-06-06,150,101,142
59,Ho Chi Minh City,2022-06-06,285,57,12
60,Hong Kong,2022-06-06,80,4,40
61,Harare,2022-06-06,107,107,107
62,Islamabad,2022-06-06,468,5,5
63,Jakarta,2022-06-06,50,11,14
64,Jerusalem,2022-06-06,296,59,15
65,Johannesburg,2022-06-06,240,60,210
66,Kabul,2022-06-06,Closed,Closed,Closed
67,Kampala,2022-06-06,210,30,180
68,Kathmandu,2022-06-06,274,80,17
69,Khartoum,2022-06-06,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
70,Kigali,2022-06-06,95,20,15
71,Kingston,2022-06-06,755,15,23
72,Kinshasa,2022-06-06,755,8,755
73,Kuala Lumpur,2022-06-06,35,12,21
74,Kuwait City,2022-06-06,3,3,3
75,Kyiv,2022-06-06,Closed,Closed,Closed
76,Lagos,2022-06-06,760,30,30
77,La Paz,2022-06-06,80,1,1
78,Libreville,2022-06-06,188,30,188
79,Lilongwe,2022-06-06,52,52,52
80,Lima,2022-06-06,375,10,14
81,Ljubljana,2022-06-06,90,30,45
82,Lome,2022-06-06,90,90,90
83,London,2022-06-06,190,20,90
84,Luanda,2022-06-06,10,37,1
85,Lusaka,2022-06-06,16,16,16
86,Madrid,2022-06-06,363,90,124
87,Managua,2022-06-06,149,7,10
88,Manama,2022-06-06,75,3,11
89,Manila,2022-06-06,360,25,34
90,Monrovia,2022-06-06,365,30,30
91,Montevideo,2022-06-06,604,165,175
92,Montreal,2022-06-06,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
93,Moscow,2022-06-06,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
94,Mumbai,2022-06-06,104,43,105
95,Muscat,2022-06-06,7,7,7
96,Naha,2022-06-06,21,3,21
97,Nairobi,2022-06-06,667,414,44
98,Naples,2022-06-06,232,86,51
99,Nassau,2022-06-06,118,24,118
100,New Delhi,2022-06-06,291,43,177
101,Niamey,2022-06-06,90,90,90
102,Nicosia,2022-06-06,130,7,130
103,Oslo,2022-06-06,128,44,41
104,Ouagadougou,2022-06-06,236,236,7
105,Panama City,2022-06-06,700,20,3
106,Paramaribo,2022-06-06,45,1,1
107,Paris,2022-06-06,225,40,200
108,Phnom Penh,2022-06-06,62,35,35
109,Prague,2022-06-06,210,61,16
110,Praia,2022-06-06,148,7,7
111,Pristina,2022-06-06,233,15,233
112,Port Au Prince,2022-06-06,365,1,7
113,Port Moresby,2022-06-06,1,1,1
114,Port of Spain,2022-06-06,310,1,1
115,Rangoon,2022-06-06,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
116,Reykjavik,2022-06-06,60,60,60
117,Riga,2022-06-06,2,3,1
118,Rio de Janeiro,2022-06-06,283,2,6
119,Riyadh,2022-06-06,16,16,16
120,Sanaa,2022-06-06,Temporarily Closed,Temporarily Closed,Temporarily Closed
121,San Jose,2022-06-06,401,56,114
122,San Salvador,2022-06-06,316,6,2
123,Santiago,2022-06-06,792,113,290
124,Santo Domingo,2022-06-06,600,30,10
125,Sarajevo,2022-06-06,9,9,8
126,Seoul,2022-06-06,55,98,71
127,Singapore,2022-06-06,35,3,7
128,Skopje,2022-06-06,250,250,250
129,Sofia,2022-06-06,60,7,7
130,Stockholm,2022-06-06,274,62,1
131,Suva,2022-06-06,5,2,3
132,Sydney,2022-06-06,390,73,133
133,Taipei,2022-06-06,45,43,49
134,Tallinn,2022-06-06,28,3,3
135,Tashkent,2022-06-06,120,25,30
136,Tbilisi,2022-06-06,219,128,30
137,Tegucigalpa,2022-06-06,88,6,9
138,Tel Aviv,2022-06-06,322,13,19
139,Tirana,2022-06-06,342,14,14
140,Tokyo,2022-06-06,53,2,4
141,Tunis,2022-06-06,150,30,14
142,Ulaanbaatar,2022-06-06,499,18,22
143,Vancouver,2022-06-06,413,14,176
144,Vienna,2022-06-06,170,77,57
145,Vientiane,2022-06-06,10,16,10
146,Vilnius,2022-06-06,24,10,3
147,Warsaw,2022-06-06,36,2,2
148,Yaounde,2022-06-06,69,69,55
149,Yerevan,2022-06-06,656,652,168
150,Zagreb,2022-06-06,99,2,4
151,Abidjan,2022-06-05,380,154,1
152,Abu Dhabi,2022-06-05,300,270,150
153,Accra,2022-06-05,983,73,60
154,Addis Ababa,2022-06-05,381,60,381
155,Algiers,2022-06-05,95,27,6
156,Almaty,2022-06-05,256,88,3
157,Amman,2022-06-05,721,106,721
158,Amsterdam,2022-06-05,240,73,134
159,Ankara,2022-06-05,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
160,Antananarivo,2022-06-05,21,21,21
161,Ashgabat,2022-06-05,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
162,Asmara,2022-06-05,7,7,7
163,Asuncion,2022-06-05,390,10,10
164,Athens,2022-06-05,637,14,30
165,Auckland,2022-06-05,92,16,92
166,Baghdad,2022-06-05,Closed,Closed,Closed
167,Bangkok,2022-06-05,180,21,10
168,Banjul,2022-06-05,120,21,21
169,Beirut,2022-06-05,267,7,7
170,Belgrade,2022-06-05,180,8,12
171,Belmopan,2022-06-05,71,8,9
172,Bern,2022-06-05,129,48,48
173,Beirut,2022-06-05,267,7,7
174,Bishkek,2022-06-05,562,42,562
175,Bogota,2022-06-05,696,37,33
176,Bratislava,2022-06-05,43,35,15
177,Brazzaville,2022-06-05,14,14,14
178,Bridgetown,2022-06-05,615,22,250
179,Brussels,2022-06-05,90,40,60
180,Bucharest,2022-06-05,231,3,7
181,Budapest,2022-06-05,250,100,100
182,Buenos Aires,2022-06-05,504,3,3
183,Bujumbura,2022-06-05,3,3,3
184,Cairo,2022-06-05,404,5,5
185,Calgary,2022-06-05,307,14,120
186,Cape Town,2022-06-05,238,29,113
187,Caracas,2022-06-05,Temporarily Closed,Temporarily Closed,Temporarily Closed
188,Casablanca,2022-06-05,128,35,128
189,Chisinau,2022-06-05,127,14,14
190,Ciudad Juarez,2022-06-05,366,1,1
191,Colombo,2022-06-05,100,4,100
192,Cotonou,2022-06-05,146,146,146
193,Dakar,2022-06-05,225,25,225
194,Damascus,2022-06-05,Temporarily Closed,Temporarily Closed,Temporarily Closed
195,Dar es Salaam,2022-06-05,55,41,41
196,Dhaka,2022-06-05,587,587,44
197,Djibouti,2022-06-05,365,90,90
198,Doha,2022-06-05,155,21,6
199,Dubai,2022-06-05,313,137,137
200,Dublin,2022-06-05,28,23,16
201,Frankfurt,2022-06-05,51,51,51
202,Freetown,2022-06-05,100,112,112
203,Georgetown,2022-06-05,800,5,1
204,Guangzhou,2022-06-05,14,7,14
205,Guatemala City,2022-06-05,245,1,1
206,Guayaquil,2022-06-05,545,9,13
207,Hamilton,2022-06-05,120,30,90
208,Havana,2022-06-05,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
209,Helsinki,2022-06-05,240,87,143
210,Ho Chi Minh City,2022-06-05,285,57,12
211,Hong Kong,2022-06-05,60,6,35
212,Harare,2022-06-05,107,107,107
213,Islamabad,2022-06-05,468,2,7
214,Jakarta,2022-06-05,50,4,23
215,Jerusalem,2022-06-05,296,59,15
216,Johannesburg,2022-06-05,240,60,210
217,Kabul,2022-06-05,Closed,Closed,Closed
218,Kampala,2022-06-05,210,30,180
219,Kathmandu,2022-06-05,274,80,17
220,Khartoum,2022-06-05,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
221,Kigali,2022-06-05,95,20,15
222,Kingston,2022-06-05,755,15,23
223,Kinshasa,2022-06-05,713,6,713
224,Kuala Lumpur,2022-06-05,35,12,21
225,Kuwait City,2022-06-05,8,8,8
226,Kyiv,2022-06-05,Closed,Closed,Closed
227,Lagos,2022-06-05,760,30,30
228,La Paz,2022-06-05,80,1,1
229,Libreville,2022-06-05,188,30,188
230,Lilongwe,2022-06-05,87,87,87
231,Lima,2022-06-05,375,10,14
232,Ljubljana,2022-06-05,90,30,45
233,Lome,2022-06-05,90,90,90
234,London,2022-06-05,190,20,90
235,Luanda,2022-06-05,30,30,1
236,Lusaka,2022-06-05,16,9,16
237,Madrid,2022-06-05,363,90,124
238,Managua,2022-06-05,149,7,10
239,Manama,2022-06-05,75,3,11
240,Manila,2022-06-05,356,35,30
241,Monrovia,2022-06-05,365,30,30
242,Montevideo,2022-06-05,604,165,175
243,Montreal,2022-06-05,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
244,Moscow,2022-06-05,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
245,Mumbai,2022-06-05,104,43,105
246,Muscat,2022-06-05,7,7,7
247,Naha,2022-06-05,21,3,21
248,Nairobi,2022-06-05,664,405,46
249,Naples,2022-06-05,232,86,51
250,Nassau,2022-06-05,118,24,118
251,New Delhi,2022-06-05,291,43,177
252,Niamey,2022-06-05,90,90,90
253,Nicosia,2022-06-05,130,7,130
254,Oslo,2022-06-05,128,44,41
255,Ouagadougou,2022-06-05,236,236,7
256,Panama City,2022-06-05,700,20,3
257,Paramaribo,2022-06-05,45,1,1
258,Paris,2022-06-05,225,40,200
259,Phnom Penh,2022-06-05,21,21,21
260,Prague,2022-06-05,210,61,16
261,Praia,2022-06-05,148,7,7
262,Pristina,2022-06-05,215,22,215
263,Port Au Prince,2022-06-05,365,1,7
264,Port Moresby,2022-06-05,1,1,1
265,Port of Spain,2022-06-05,310,1,1
266,Rangoon,2022-06-05,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
267,Reykjavik,2022-06-05,60,60,60
268,Riga,2022-06-05,9,3,1
269,Rio de Janeiro,2022-06-05,283,2,6
270,Riyadh,2022-06-05,16,9,16
271,Sanaa,2022-06-05,Temporarily Closed,Temporarily Closed,Temporarily Closed
272,San Jose,2022-06-05,401,56,114
273,San Salvador,2022-06-05,316,6,2
274,Santiago,2022-06-05,792,113,290
275,Santo Domingo,2022-06-05,600,30,10
276,Sarajevo,2022-06-05,9,9,8
277,Seoul,2022-06-05,55,98,71
278,Singapore,2022-06-05,35,3,7
279,Skopje,2022-06-05,250,250,250
280,Sofia,2022-06-05,60,7,7
281,Stockholm,2022-06-05,274,62,1
282,Suva,2022-06-05,5,2,3
283,Sydney,2022-06-05,390,73,133
284,Taipei,2022-06-05,44,36,35
285,Tallinn,2022-06-05,28,3,3
286,Tashkent,2022-06-05,120,25,30
287,Tbilisi,2022-06-05,219,128,30
288,Tegucigalpa,2022-06-05,88,6,9
289,Tel Aviv,2022-06-05,322,13,19
290,Tirana,2022-06-05,342,14,14
291,Tokyo,2022-06-05,42,9,9
292,Tunis,2022-06-05,150,30,14
293,Ulaanbaatar,2022-06-05,499,18,22
294,Vancouver,2022-06-05,413,14,176
295,Vienna,2022-06-05,170,77,57
296,Vientiane,2022-06-05,15,22,15
297,Vilnius,2022-06-05,24,10,3
298,Warsaw,2022-06-05,36,2,2
299,Yaounde,2022-06-05,69,69,55
300,Yerevan,2022-06-05,656,652,168
301,Zagreb,2022-06-05,99,2,4
302,Abidjan,2022-06-04,380,154,1
303,Abu Dhabi,2022-06-04,300,270,150
304,Accra,2022-06-04,983,73,60
305,Addis Ababa,2022-06-04,381,60,381
306,Algiers,2022-06-04,95,27,6
307,Almaty,2022-06-04,256,88,3
308,Amman,2022-06-04,721,106,721
309,Amsterdam,2022-06-04,240,73,134
310,Ankara,2022-06-04,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
311,Antananarivo,2022-06-04,21,21,21
312,Ashgabat,2022-06-04,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
313,Asmara,2022-06-04,7,7,7
314,Asuncion,2022-06-04,390,10,10
315,Athens,2022-06-04,637,14,30
316,Auckland,2022-06-04,92,16,92
317,Baghdad,2022-06-04,Closed,Closed,Closed
318,Bangkok,2022-06-04,180,21,10
319,Banjul,2022-06-04,120,21,21
320,Beirut,2022-06-04,267,7,7
321,Belgrade,2022-06-04,180,8,12
322,Belmopan,2022-06-04,71,8,9
323,Bern,2022-06-04,129,48,48
324,Beirut,2022-06-04,267,7,7
325,Bishkek,2022-06-04,562,42,562
326,Bogota,2022-06-04,696,37,33
327,Bratislava,2022-06-04,43,35,15
328,Brazzaville,2022-06-04,14,14,14
329,Bridgetown,2022-06-04,615,22,250
330,Brussels,2022-06-04,90,40,60
331,Bucharest,2022-06-04,231,3,7
332,Budapest,2022-06-04,250,100,100
333,Buenos Aires,2022-06-04,504,3,3
334,Bujumbura,2022-06-04,3,3,3
335,Cairo,2022-06-04,404,5,5
336,Calgary,2022-06-04,307,14,120
337,Cape Town,2022-06-04,238,29,113
338,Caracas,2022-06-04,Temporarily Closed,Temporarily Closed,Temporarily Closed
339,Casablanca,2022-06-04,128,35,128
340,Chisinau,2022-06-04,127,14,14
341,Ciudad Juarez,2022-06-04,366,1,1
342,Colombo,2022-06-04,100,4,100
343,Cotonou,2022-06-04,146,146,146
344,Dakar,2022-06-04,225,25,225
345,Damascus,2022-06-04,Temporarily Closed,Temporarily Closed,Temporarily Closed
346,Dar es Salaam,2022-06-04,55,41,41
347,Dhaka,2022-06-04,587,587,44
348,Djibouti,2022-06-04,365,90,90
349,Doha,2022-06-04,155,21,6
350,Dubai,2022-06-04,313,137,137
351,Dublin,2022-06-04,28,23,16
352,Frankfurt,2022-06-04,51,51,51
353,Freetown,2022-06-04,100,112,112
354,Georgetown,2022-06-04,800,5,1
355,Guangzhou,2022-06-04,14,7,14
356,Guatemala City,2022-06-04,245,1,1
357,Guayaquil,2022-06-04,545,9,13
358,Hamilton,2022-06-04,120,30,90
359,Havana,2022-06-04,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
360,Helsinki,2022-06-04,240,87,143
361,Ho Chi Minh City,2022-06-04,285,57,12
362,Hong Kong,2022-06-04,60,6,35
363,Harare,2022-06-04,107,107,107
364,Islamabad,2022-06-04,468,2,7
365,Jakarta,2022-06-04,50,4,23
366,Jerusalem,2022-06-04,296,59,15
367,Johannesburg,2022-06-04,240,60,210
368,Kabul,2022-06-04,Closed,Closed,Closed
369,Kampala,2022-06-04,210,30,180
370,Kathmandu,2022-06-04,274,80,17
371,Khartoum,2022-06-04,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
372,Kigali,2022-06-04,95,20,15
373,Kingston,2022-06-04,755,15,23
374,Kinshasa,2022-06-04,713,6,713
375,Kuala Lumpur,2022-06-04,35,12,21
376,Kuwait City,2022-06-04,8,8,8
377,Kyiv,2022-06-04,Closed,Closed,Closed
378,Lagos,2022-06-04,760,30,30
379,La Paz,2022-06-04,80,1,1
380,Libreville,2022-06-04,188,30,188
381,Lilongwe,2022-06-04,87,87,87
382,Lima,2022-06-04,375,10,14
383,Ljubljana,2022-06-04,90,30,45
384,Lome,2022-06-04,90,90,90
385,London,2022-06-04,190,20,90
386,Luanda,2022-06-04,30,30,1
387,Lusaka,2022-06-04,16,9,16
388,Madrid,2022-06-04,363,90,124
389,Managua,2022-06-04,149,7,10
390,Manama,2022-06-04,83,3,3
391,Manila,2022-06-04,356,35,30
392,Monrovia,2022-06-04,365,30,30
393,Montevideo,2022-06-04,604,165,175
394,Montreal,2022-06-04,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
395,Moscow,2022-06-04,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
396,Mumbai,2022-06-04,104,43,105
397,Muscat,2022-06-04,7,7,7
398,Naha,2022-06-04,21,3,21
399,Nairobi,2022-06-04,664,405,46
400,Naples,2022-06-04,232,86,51
401,Nassau,2022-06-04,118,24,118
402,New Delhi,2022-06-04,291,43,177
403,Niamey,2022-06-04,90,90,90
404,Nicosia,2022-06-04,130,7,130
405,Oslo,2022-06-04,128,44,41
406,Ouagadougou,2022-06-04,236,236,7
407,Panama City,2022-06-04,700,20,3
408,Paramaribo,2022-06-04,45,1,1
409,Paris,2022-06-04,225,40,200
410,Phnom Penh,2022-06-04,21,21,21
411,Prague,2022-06-04,210,61,16
412,Praia,2022-06-04,148,7,7
413,Pristina,2022-06-04,215,22,215
414,Port Au Prince,2022-06-04,365,1,7
415,Port Moresby,2022-06-04,1,1,1
416,Port of Spain,2022-06-04,310,1,1
417,Rangoon,2022-06-04,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
418,Reykjavik,2022-06-04,60,60,60
419,Riga,2022-06-04,9,3,1
420,Rio de Janeiro,2022-06-04,283,2,6
421,Riyadh,2022-06-04,16,9,16
422,Sanaa,2022-06-04,Temporarily Closed,Temporarily Closed,Temporarily Closed
423,San Jose,2022-06-04,401,56,114
424,San Salvador,2022-06-04,316,6,2
425,Santiago,2022-06-04,792,113,290
426,Santo Domingo,2022-06-04,600,30,10
427,Sarajevo,2022-06-04,9,9,8
428,Seoul,2022-06-04,55,98,71
429,Singapore,2022-06-04,35,3,7
430,Skopje,2022-06-04,250,250,250
431,Sofia,2022-06-04,60,7,7
432,Stockholm,2022-06-04,274,62,1
433,Suva,2022-06-04,5,2,3
434,Sydney,2022-06-04,390,73,133
435,Taipei,2022-06-04,44,36,35
436,Tallinn,2022-06-04,28,3,3
437,Tashkent,2022-06-04,120,25,30
438,Tbilisi,2022-06-04,219,128,30
439,Tegucigalpa,2022-06-04,88,6,9
440,Tel Aviv,2022-06-04,322,13,19
441,Tirana,2022-06-04,342,14,14
442,Tokyo,2022-06-04,42,9,9
443,Tunis,2022-06-04,150,30,14
444,Ulaanbaatar,2022-06-04,499,18,22
445,Vancouver,2022-06-04,413,14,176
446,Vienna,2022-06-04,170,77,57
447,Vientiane,2022-06-04,15,22,15
448,Vilnius,2022-06-04,24,10,3
449,Warsaw,2022-06-04,36,2,2
450,Yaounde,2022-06-04,69,69,55
451,Yerevan,2022-06-04,656,652,168
452,Zagreb,2022-06-04,99,2,4
453,Abidjan,2022-06-03,380,154,1
454,Abu Dhabi,2022-06-03,300,270,150
455,Accra,2022-06-03,983,73,60
456,Addis Ababa,2022-06-03,381,60,381
457,Algiers,2022-06-03,95,27,6
458,Almaty,2022-06-03,256,88,3
459,Amman,2022-06-03,721,106,721
460,Amsterdam,2022-06-03,240,73,134
461,Ankara,2022-06-03,Emergency Appointments Only,Emergency Appointments Only,Emergency Appointments Only
462,Antananarivo,2022-06-03,21,21,21
